mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
10	10	54	54	4.0	0	0	Chord	3/2	1	1	1	1	1	204						
10	10	58	58	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	205						
10	10	54	54	4.0	0	0	Chord	3/2	2	1	1	1	1	206						
10	10	58	58	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	207						
10	10	54	54	4.0	0	0	Chord	3/2	3	1	1	1	1	208						
10	10	58	58	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	209						
10	10	54	54	4.0	0	0	Chord	3/2	4	1	1	1	1	210						
10	10	58	58	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	211						
10	10	54	54	4.0	0	0	Chord	3/2	5	1	1	1	1	212						
10	10	58	58	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	213						
10	10	54	54	4.0	0	0	Chord	3/2	5	2	1	1	1	214						
10	10	58	58	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	215						
10	10	54	54	4.0	0	0	Chord	3/2	5	3	1	1	1	216						
10	10	58	58	2.0	1	1	Chord	3/2	5	3	1/2	1/2	1	217						
10	10	54	54	4.0	0	0	Chord	3/2	6	1	1	1	1	218						
10	10	58	58	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	219						
10	10	54	54	0.0	0	0	FiguredBass	3/2	7	1	0					1	6			
10	10	54	54	4.0	0	0	Chord	3/2	7	1	1	1	1	220						
10	10	58	58	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	221						
10	10	54	54	4.0	0	0	Chord	3/2	8	1	1	1	1	222						
10	10	58	58	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	223						
11	11	60	60	4.0	0	0	Chord	3/2	1	1	1	1	1	224						
11	11	64	64	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	225	ornamentTremblement					
11	11	60	60	4.0	0	0	Chord	3/2	2	1	1	1	1	226						
11	11	64	64	1.0	1	1	Chord	3/2	2	1	1/4	1/4	1	227						12
11	11	65	65	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	228						
11	11	60	60	4.0	0	0	Chord	3/2	3	1	1	1	1	229						
11	11	64	64	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	230						
11	11	60	60	4.0	0	0	Chord	3/2	4	1	1	1	1	231						
11	11	64	64	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	232						
11	11	60	60	4.0	0	0	Chord	3/2	5	1	1	1	1	233						
11	11	64	64	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	234	ornamentTremblement					
11	11	64	64	1.0	1	1	Chord	3/2	5	2	1/4	1/4	1	235						
11	11	65	65	1.0	5/4	5/4	Chord	3/2	5	2	1/4	1/4	1	236						
11	11	60	60	4.0	0	0	Chord	3/2	5	3	1	1	1	237						
11	11	64	64	2.0	1	1	Chord	3/2	5	3	1/2	1/2	1	238						
11	11	60	60	4.0	0	0	Chord	3/2	6	1	1	1	1	239						
11	11	64	64	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	240						
11	11	60	60	0.0	0	0	FiguredBass	3/2	7	1	0					1	6	b		
11	11	60	60	4.0	0	0	Chord	3/2	7	1	1	1	1	241						
11	11	64	64	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	242	ornamentTremblement					
11	11	60	60	4.0	0	0	Chord	3/2	8	1	1	1	1	243						
11	11	64	64	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	244						
12	12	66	66	4.0	0	0	Chord	3/2	1	1	1	1	1	245						
12	12	70	70	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	246						
12	12	66	66	1.0	0	0	Chord	3/2	2	1	1/4	1/4	1	247						13
12	12	67	67	1.0	1/4	1/4	Chord	3/2	2	1	1/4	1/4	1	248						
12	12	68	68	4.0	1/2	1/2	Chord	3/2	2	1	1	1	1	249						
12	12	66	66	4.0	0	0	Chord	3/2	3	1	1	1	1	250						
12	12	70	70	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	251						
12	12	66	66	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	252						
12	12	68	68	4.0	1/2	1/2	Chord	3/2	4	1	1	1	1	253						
12	12	66	66	4.0	0	0	Chord	3/2	5	1	1	1	1	254						
12	12	70	70	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	255						
12	12	66	66	1.0	0	0	Chord	3/2	5	2	1/4	1/4	1	256						
12	12	67	67	1.0	1/4	1/4	Chord	3/2	5	2	1/4	1/4	1	257						
12	12	68	68	4.0	1/2	1/2	Chord	3/2	5	2	1	1	1	258						
12	12	66	66	4.0	0	0	Chord	3/2	5	3	1	1	1	259						
12	12	70	70	2.0	1	1	Chord	3/2	5	3	1/2	1/2	1	260						
12	12	66	66	2.0	0	0	Chord	3/2	6	1	1/2	1/2	1	261						
12	12	68	68	4.0	1/2	1/2	Chord	3/2	6	1	1	1	1	262						
12	12	66	66	0.0	0	0	FiguredBass	3/2	7	1	0					1	5			
12	12	66	66	4.0	0	0	Chord	3/2	7	1	1	1	1	263						
12	12	70	70	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	9			
12	12	70	70	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	264						
12	12	72	72	0.0	3/2	3/2	FiguredBass	3/2	7	1	0					1/2	8			
12	12	66	66	2.0	0	0	Chord	3/2	8	1	1/2	1/2	1	265						
12	12	68	68	4.0	1/2	1/2	Chord	3/2	8	1	1	1	1	266						
13	13	72	72	4.0	0	0	Chord	3/2	1	1	1	1	1	267						
13	13	76	76	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	268						
13	13	72	72	4.0	0	0	Chord	3/2	2	1	1	1	1	269						
13	13	76	76	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	270						
13	13	72	72	4.0	0	0	Chord	3/2	3	1	1	1	1	271						
13	13	76	76	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	272						
13	13	72	72	4.0	0	0	Chord	3/2	4	1	1	1	1	273						
13	13	76	76	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	274						
13	13	72	72	4.0	0	0	Chord	3/2	5	1	1	1	1	275						
13	13	76	76	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	276						
13	13	72	72	4.0	0	0	Chord	3/2	5	2	1	1	1	277						
13	13	76	76	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	278						
13	13	72	72	4.0	0	0	Chord	3/2	5	3	1	1	1	279						
13	13	76	76	2.0	1	1	Chord	3/2	5	3	1/2	1/2	1	280						
13	13	72	72	4.0	0	0	Chord	3/2	6	1	1	1	1	281						
13	13	76	76	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	282						
13	13	72	72	0.0	0	0	FiguredBass	3/2	7	1	0					1	6			
13	13	72	72	4.0	0	0	Chord	3/2	7	1	1	1	1	283						
13	13	76	76	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	b			
13	13	76	76	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	284						
13	13	72	72	4.0	0	0	Chord	3/2	8	1	1	1	1	285						
13	13	76	76	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	286						
14	14	78	78	4.0	0	0	Chord	3/2	1	1	1	1	1	287						
14	14	82	82	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	288						
14	14	78	78	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	289						
14	14	80	80	4.0	1/2	1/2	Chord	3/2	2	1	1	1	1	290						
14	14	78	78	4.0	0	0	Chord	3/2	3	1	1	1	1	291						
14	14	82	82	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	292						
14	14	78	78	4.0	0	0	Chord	3/2	4	1	1	1	1	293						
14	14	82	82	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	294						
14	14	78	78	4.0	0	0	Chord	3/2	5	1	1	1	1	295						
14	14	82	82	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	296						
14	14	78	78	4.0	0	0	Chord	3/2	5	2	1	1	1	297						
14	14	82	82	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	298						
14	14	78	78	2.0	0	0	Chord	3/2	5	3	1/2	1/2	1	299						
14	14	80	80	4.0	1/2	1/2	Chord	3/2	5	3	1	1	1	300						
14	14	78	78	4.0	0	0	Chord	3/2	6	1	1	1	1	301						
14	14	82	82	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	302						
14	14	78	78	4.0	0	0	Chord	3/2	7	1	1	1	1	303						
14	14	82	82	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	6	4		
14	14	82	82	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	304						
14	14	78	78	4.0	0	0	Chord	3/2	8	1	1	1	1	305						
